--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2357649 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Dataset Columns: Index(['original_dataset', 'fwd_iat_mean', 'fwd_iat_std', 'bwd_iat_mean',
       'protocol', 'attack_category', 'duration', 'is_attack', 'bwd_iat_std'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 5)
X_test shape: (100000, 5)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 4.26 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 5 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.703356063456784), tensor(1, requires_grad=False): np.float64(1.729370768445901)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:  1640 | Batch Cost: 0.8910946 | Batch Acc: 0.7400000
Iter:  1650 | Batch Cost: 0.9772797 | Batch Acc: 0.3700000
Iter:  1660 | Batch Cost: 1.0142583 | Batch Acc: 0.4400000
Iter:  1670 | Batch Cost: 0.8932973 | Batch Acc: 0.4500000
Iter:  1680 | Batch Cost: 0.9671566 | Batch Acc: 0.3600000
Iter:  1690 | Batch Cost: 0.9092582 | Batch Acc: 0.5100000
Iter:  1700 | Batch Cost: 0.9891233 | Batch Acc: 0.4200000
Iter:  1710 | Batch Cost: 0.9731493 | Batch Acc: 0.4100000
Iter:  1720 | Batch Cost: 1.0835681 | Batch Acc: 0.3900000
Iter:  1730 | Batch Cost: 0.9562088 | Batch Acc: 0.3300000
Iter:  1740 | Batch Cost: 0.9487859 | Batch Acc: 0.4500000
Iter:  1750 | Batch Cost: 0.8915484 | Batch Acc: 0.7200000
Iter:  1760 | Batch Cost: 0.9829141 | Batch Acc: 0.3900000
Iter:  1770 | Batch Cost: 0.9850847 | Batch Acc: 0.4300000
Iter:  1780 | Batch Cost: 0.8685452 | Batch Acc: 0.7200000
Iter:  1790 | Batch Cost: 0.9847857 | Batch Acc: 0.3300000
Iter:  1800 | Batch Cost: 0.8946631 | Batch Acc: 0.5200000
Iter:  1810 | Batch Cost: 1.0200454 | Batch Acc: 0.3800000
Iter:  1820 | Batch Cost: 0.9263869 | Batch Acc: 0.4400000
Iter:  1830 | Batch Cost: 1.1323291 | Batch Acc: 0.3100000
Iter:  1840 | Batch Cost: 0.9682838 | Batch Acc: 0.4200000
Iter:  1850 | Batch Cost: 0.9427673 | Batch Acc: 0.4500000
Iter:  1860 | Batch Cost: 1.0369124 | Batch Acc: 0.3400000
Iter:  1870 | Batch Cost: 1.0260286 | Batch Acc: 0.4200000
Iter:  1880 | Batch Cost: 1.0365351 | Batch Acc: 0.4000000
Iter:  1890 | Batch Cost: 0.8637723 | Batch Acc: 0.7300000
Iter:  1900 | Batch Cost: 1.0037714 | Batch Acc: 0.4600000
Iter:  1910 | Batch Cost: 0.9528644 | Batch Acc: 0.4200000
